registration_number,name,trading_name,trading_type,address,city,postcode,website,property_count,status,tribunal_total_cases,tribunal_negative_outcomes,tribunal_positive_outcomes,tribunal_neutral_outcomes,tribunal_pfeo_issued,tribunal_pfeo_proposed,tribunal_pfeo_resolved,tribunal_pfeo_unresolved,tribunal_pfeo_pending,tribunal_complied,tribunal_failure_to_comply,tribunal_dismissed,tribunal_rejected,tribunal_withdrawn,tribunal_other_outcomes,tribunal_upper_tribunal_appeals,tribunal_section_1_violations,tribunal_section_2_violations,tribunal_section_3_violations,tribunal_section_4_violations,tribunal_section_5_violations,tribunal_section_6_violations,tribunal_section_7_violations,tribunal_pf_duty_violations,tribunal_earliest_case,tribunal_latest_case,tribunal_case_refs
PF000359,Lomond Property Factors Ltd,Lomond Property Factors Ltd,Company,"The Gowk, Gartocharn, Alexandria, G83 8ND",The Gowk,G83 8ND,https://lomondpropertyfactors.co.uk/,184,Registered,5,3,2,0,0,0,2,1,0,2,1,0,0,0,2,0,0,1,0,0,0,1,1,2,2019-08-08,2024-02-05,FTS/HPC/PF/23/2076 | FTS/HPC/PF/21/2368 | FTS/HPC/PF/21/2380 | FTS/HPC/PF/21/2438 | FTS/HPC/PF/21/2439 | FTS/HPC/PF/21/2513 | FTS/HPC/PF/21/2627 | FTS/HPC/PF/20/0529 | FTS/HPC/PF/19/0719 | FTS/HPC/PF/19/1666
PF000938,Loreburn Housing Association Limited,Loreburn Housing Association Limited,Registered Social Landlord,"7 Gifhorn House, Shakespeare Street, Dumfries, DG1 2JB",Shakespeare Street,DG1 2JB,https://www.loreburn.org.uk,640,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000402,Loretto Housing Association Ltd,Loretto Housing Association Ltd,Registered Social Landlord,"Wheatley House, 25 Cochrane Street, Fofar, G1 1HL",Wheatley House,G1 1HL,,852,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000842,Lorimer Property Group Ltd,Lorimer Property Group Ltd,Company,"Redwood Crescent, East Kilbride, G74 5PA",Redwood Crescent,G74 5PA,https://Lorimerproperty.com,1040,Registered,4,1,3,0,0,0,2,1,0,2,1,0,1,0,0,0,2,3,3,2,1,3,3,3,2023-01-30,2024-11-12,FTS/HPC/PF/23/2448 | FTS/HPC/PF/23/3555 | FTS/HPC/PF/23/1956 | FTS/HPC/PF/22/2897
PF001038,Louise Todd Property Management Ltd,Louise Todd Property Management Ltd,Company,"1st Floor, 87 Commercial Street, Dundee, DD1 2AB",Dundee,DD1 2AB,https://www.lt-pm.co.uk,0,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000785,Lowther Homes Limited,Lowther Homes Limited,Company,"Wheatley House, 25 Cochrane Street, Glasgow, G1 1HL",Wheatley House,G1 1HL,https://www.lowtherhomes.com,1216,Registered,36,20,16,0,1,6,6,5,6,6,4,1,9,0,9,0,7,17,2,0,1,19,13,20,2021-05-16,2025-03-10,"FTS/HPC/LM/24/1787 | FTS/HPC/PF/22/4237 | FTS/HPC/LM/23/0079 + FTS/HPC/LM/23/0081 | FTS/HPC/PF/23/3611 | FTS/HPC/PF/24/2591 | FTS/HPC/PF/23/2738 | FTS/HPC/PF/21/1864 | FTS/HPC/PF/24/1518 | FTS/HPC/PF/23/0568 | FTS/HPC/PF/23/0568 | FTS/HPC/PF/23/0234+0236 | FTS/HPC/PF/23/0571+0575 | FTS/HPC/PF/23/2244 | FTS/HPC/PF/23/0234 + 0236 | FTS/HPC/PF/23/2724 | FTS/HPC/PF/23/1907 | FTS/HPC/PF/23/3128 | FTS/HPC/PF/22/3879 | FTS/HPC/PF/23/0499 | FTS/HPC/PF/23/0571, 0574 + 0575 | FTS/HPC/PF/22/2988 | FTS/HPC/PF/22/2851 | FTS/HPC/PF/22/0644 | FTS/HPC/PF/21/3071 & FTS/HPC/PF/21/3232 | FTS/HPC/PF/22/0644 | FTS/HPC/LA/21/3143 | FTS/HPC/PF/21/1771 | FTS/HPC/PF/21/1771 | FTS/HPC/PF/21/1057 | FTS/HPC/PF/21/0889 | FTS/HPC/PF/21/1073 | FTS/HPC/LM/21/0858 | FTS/HPC/PF/21/0873 | FTS/HPC/PF/22/0431 | FTS/HPC/PF/21/0109 | FTS/HPC/PF/22/0043"
PF000781,LYALL BUILDING SOLUTIONS LTD,LYALL BUILDING SOLUTIONS LTD,Company,"51 ALLANVALE ROAD, BRIDGE OF ALLAN, FK9 4PA",BRIDGE OF ALLAN,FK9 4PA,,0,Registration expired on 17/08/2021,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-06,2024-03-06,FTS/HPC/PF/22/3455 | FTS/HPC/PF/22/3750 | FTS/HPC/PF/22/3934 | FTS/HPC/PF/22/3935
PF000098,Macfie & Co Management Services Ltd,Macfie & Co Management Services Ltd,Company,"5 Cathkinview Road, Glasgow, G42 9EA",Glasgow,G42 9EA,https://www.macfie.com,4481,Registered,9,5,4,0,1,0,3,3,1,3,3,0,1,0,1,0,2,4,2,0,1,4,2,6,2017-04-25,2025-01-16,FTS/HPC/PF/23/0918 | FTS/HPC/PF/23/1627 | FTS/HPC/PF/21/2337 | FTS/HPC/PF/20/0699 | FTS/HPC/PF/18/1743 | FTS/HPC/PF/18/1472 | HOHP/PF/16/0179 | FTS/HPC/PF/17/0156 | FTS/HPC/PF/17/0183 | FTS/HPC/PF/17/0018
PF000547,MAJR Properties Limited,MAJR Properties Limited,Company,"Unit 6A, Angus Works, Fairbairn Street, Dundee, DD3 7JZ",Fairbairn Street,DD3 7JZ,,0,Registration expired on 04/06/2018,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000693,Managing Estates Limited,Managing Estates Limited,Company,"Unit 2a, Brymau Three River Lane, Chester, CH4 8RQ",Brymau Three River Lane,CH4 8RQ,https://www.estatespm.co.uk,1573,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000997,Manor Estates Associates Ltd,Manor Estates Associates Ltd,Company,"Suite 4, 5 New Mart Place, Edinburgh, EH14 1RW",Edinburgh,EH14 1RW,https://manorestates.org.uk,20,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000157,Manor Estates Housing Association Ltd,Manor Estates Housing Association Ltd,Registered Social Landlord,"Suite 4, 5 New Mart Place, Edinburgh, EH14 1RW",Edinburgh,EH14 1RW,https://www.manorestates.org.uk,1505,Registered,2,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,2020-09-03,2020-09-03,FTS/HPC/PF/19/2223 | FTS/HPC/PF/19/2223
PF000821,Mark Kelly,84 Main Street,Sole Trader,"Flat 1, 84 Main Street, Rutherglen, G73 2HZ",Rutherglen,G73 2HZ,,0,Registration expired on 17/05/2022,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000874,Mark Lindsay,Marks Gardening Service,Sole Trader,"7 Roseburn Place, Coatbridge, ML5 1EN",Coatbridge,ML5 1EN,,0,Registration expired on 17/10/2023,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000199,Maroco Limited,Wardhaugh Property,Company,"Wardhaugh Property 38/40, East High Street, Fofar, DD8 2EG",East High Street,DD8 2EG,https://www.wardhaughproperty.co.uk,121,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000442,MARSHALL MACCALLUM,MARSHALL MACCALLUM,Sole Trader,"1/3 HIGH STREET, DUNBLANE, FK15 0EE",DUNBLANE,FK15 0EE,,0,Registration expired on 08/03/2016,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000931,Martin Jack Limited,Martin Jack,Company,"Flat 4, Barron House, 88 High Street, Nairn, IV12 4AU",Barron House,IV12 4AU,,6,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000396,Maryhill Housing Association Ltd,Maryhill Housing Association Ltd,Registered Social Landlord,"Flat 1, 45 Garrioch Road, Glasgow, G20 8RG",Glasgow,G20 8RG,https://www.maryhill.org.uk,1976,Registered,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2014-04-02,2021-11-24,FTS/HPC/PF/21/1868 | HOHP/PF/13/0273
PF000115,Matthew Cohen & Associates Ltd,Matthew Cohen & Associates Ltd,Company,"269 Holburn Street, Aberdeen, AB10 7FL",Aberdeen,AB10 7FL,,0,Registration expired on 01/08/2016,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF001017,MBM Property Management (Scotland) Limited,MBM Property Management,Company,"12 Holmlea Road, Glasgow, G44 4AH",Glasgow,G44 4AH,https://www.mbmhomelets.com,96,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF001135,McAslan Services Ltd,McAslan Services Ltd,Company,"62 Kinnear Road, Glasgow, G40 3JW",Glasgow,G40 3JW,https://mcaslanproperty.co.uk/,0,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000391,McCarthy & Stone Management Services Limited,McCarthy Stone,Company,"1 Ainslie Road, Glasgow, G52 4RU",Glasgow,G52 4RU,https://www.mccarthyandstone.co.uk,963,Registered,3,0,3,0,0,0,2,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,2,2019-07-09,2025-11-28,FTS/HPC/PF/25/3851 | FTS/HPC/PF/19/0987 | FTS/HPC/PF/19/0970
PF000443,MCDONALD PROPERTY MANAGEMENT,MCDONALD PROPERTY MANAGEMENT,Partnership,"30 MITCHELL GROVE, EAST KILBRIDE, G74 1QZ",East Kilbride,G74 1QZ,,0,Registration expired on 29/03/2016,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
